Name,Author,Description,Inspired by,Music style,Created on,Demo,# votes,Rating,Amp style,Tap,PowerLevel,Edit2,Edit3,Volume,Treble,Middle,Bass,Effect2,Master,Gain,Edit1,Effect1,Red-Green,Edit2Hold,TapOnOff,AmpPower,Original order
White Stripes - Screwdriver (ish),mattbrowettiii,Sounds a little bit like Screwdriver by The White Stripes but not exactly. May sound like a live variation that Jack might have used...,"The White Stripes, Screwdriver",Dirty Crunch ,15/02/2012,,0,,5,10,24,0,0,62,71,27,36,1,25,30,0,1,1,1,0,40,149
Exodus,vegas,"Not sure about it, rate please.","Exodus, Pleasures of the Flesh",Thrash Metal ,15/02/2012,,0,,10,10,18,0,0,75,37,77,28,1,20,81,34,7,1,1,0,20,150
Randy Rhoads (Ozzy Period),hellomrscreen,NOT MANUAL ON THE AMP... RED PRESET! An alright tone for a legendary guitarist... The louder the better!,"Randy Rhoads, Crazy Train",Metal ,14/02/2012,,0,,9,10,50,0,33,64,81,62,10,1,51,81,42,6,1,1,0,20,151
Death Magnetic (clean),vegas,Enjoy and rate :),"Metallica, Death Magnetic",Thrash/Heavy ,13/02/2012,,0,,1,10,18,0,42,62,47,32,50,1,19,50,0,1,3,1,0,20,152
Death Magnetic (distorted v2),vegas,"UPDATED - much closer now, rate please :)","Metallica, Death Magnetic",Thrash/Heavy ,13/02/2012,,0,,9,10,17,0,0,0,59,40,49,1,18,61,100,7,1,1,0,20,153
Beatles - and your bird can sing,texasboy,Basic (Green) / Custom (Red). That's all you need to do. Ignore the other switches.,-,Beatles ,09/02/2012,,0,,3,10,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,80,155
Arch Enemy,stepath18,Khaos Legion,"Arch Enemy, Khaos Legion",Metal ,08/02/2012,http://www.youtube.com/watch?v=Bwi5SJG3K5M&ob=av3e,0,,9,10,32,0,20,49,59,55,43,1,50,61,48,1,2,1,0,20,157
MetalRythm,stepath18,the tone is setup on an Ibanez S470 DX with Zack Wylde sign. EMG (active) pickups.,-,Metal ,07/02/2012,,0,,8,10,41,0,18,51,58,47,40,1,28,54,18,10,2,1,0,20,159
Judas Preist,dmosteller,"slighty heavier sound then the recording, but its sounds awesome playing along with it.","Judas Preist, Breaking the Law",Heavy ,06/02/2012,,0,,7,10,100,0,0,52,28,57,72,5,100,31,13,10,3,1,0,40,160
phenomenal-80's crunch,thffkwka,"if you have vfs5, boost your sound with it!! vox amazed me by jcm800 modeling, it's just phenomenal","none, none",Hard Rock ,06/02/2012,,0,,7,20,0,0,39,100,85,56,65,1,100,80,52,7,3,1,0,20,162
Blue Orchid1,thffkwka,make your pitch shift 1 octave down and blend it with your original sound I’m pretty sure it will blow your mind,"White stripes, Get behind me satan",Blues garage punk ,06/02/2012,,0,,4,0,48,46,40,100,37,50,62,7,100,62,47,7,2,0,0,20,163
Decapitated Death Metal Tone,smokescreenabyss,The Most Brutal Death Metal Tone On This Amp. I've Been Using It For Ages. For That Organic Hallucinosis Sound. Enjoy!!!,"Decapitated, A Poem About An Old Prison Man",Tech Death Metal ,02/02/2012,,0,,11,10,100,0,17,25,98,20,100,1,12,100,100,10,1,1,0,80,165
Chris Isaak - Wicked game,batistoeten,"It needs ""some"" finetuning, getting pretty close although. Enjoy. Do the finetuning, and help me find that ulitmate Chris Isaak tone!","Chris Isaak, Wicked Game",pop/ rock ballad ,23/01/2012,http://www.youtube.com/watch?v=UAOxCqSxRD0,0,,4,10,50,0,85,81,79,63,34,10,9,81,0,1,2,1,0,20,168
Brothers in Arms,thimpt,For Brothers in Arms and other....,"Mark Knopfler, Dire Straits",Pop/Rock ,21/01/2012,,0,,,,,,,,,,,,,,,,,,,80,171
Americana Vox AC15,sonnyblu,Nice breakup but still retains the Vox Chime for rhythm... turn up your volume for leads. Video,"David Grissom, David Grissom",Americana ,09/01/2012,http://www.youtube.com/watch?v=qWTFMzd9XaE,0,,,,,,,,,,,,,,,,,,,80,173
Beno Bluesbreaker,sonnyblu,I find the higher you can set the Power level and as long as the channel Volume is at least equal to or higher than the Gain... This amp sounds pretty tube like.  Marshall JTM45 Bluesbreaker sound.,"Eric Clapton, John Mayall Bluesbreakers",Blues ,06/01/2012,http://www.youtube.com/watch?v=t5ZIi1K7BU4,0,,7,10,100,0,0,100,73,49,24,1,18,100,0,1,2,1,0,80,174
power tone echo,hankypanky,Great echo tone with a little crunch. Turn down the guitar volume for less crunch more clean. Be,-,Rock ,02/01/2012,,0,,,,,,,,,,,,,,,,,,,40,176
Hallelujah,smus,Hallelujah - Grace - Jeff Buckley,"Jeff BuckHley, Hallelujah",Rock Blues ,01/01/2012,,0,,4,1,0,33,79,94,71,87,90,5,31,32,0,1,2,1,0,40,177
metalisha,donk3340,rock,"Metalisha, season of the witch",Rock ,29/12/2011,,0,,,,,,,,,,,,,,,,,,,40,178
Vintage OD,grattmod,Play it slowly... and enjoy !,-,Blues ,22/12/2011,,0,,2,13,62,0,59,55,39,49,60,9,51,52,43,7,1,1,0,20,180
Bloc Party,charlie1237,Full tone,"Russel Lissack/ Kele Okereke , Silent alarm",Indie Rock ,21/12/2011,,0,,,,,,,,,,,,,,,,,,,20,182
Clean (Nashville Tele),dbvt120,Clean tone good for arpegiated open chords on telecaster.,-,Clean Bright ,19/12/2011,,0,,,,,,,,,,,,,,,,,,,120,183
Foo Fighters Tone,charlie1237,"I play it on the bridge plus middle pickups on a japanese strat, full tone.","Foo fighters, All my life",Rock ,11/12/2011,,0,,4,10,52,0,21,14,42,25,27,1,10,100,0,9,2,1,0,20,185
Heavy Slow Blues,tobydarling,Using a Rally Les Paul copy. Recorded using Cubasis with AKG C1000s mic. Backing from Jamey Aebersold Vol2 (Nothin' but Blues) Learn To Play Jazz series.,"SRV, any",heavy Blues ,09/12/2011,http://www.youtube.com/watch?v=_ors2-erjcg,0,,1,10,15,69,34,43,100,60,63,9,63,82,79,7,2,1,0,40,186
Slash tone Appetite,slashsnightmare,This is a nice basic Slash tone form the Appetite album. I used a VT+20 and an Epiphone les paul standard with both pickups. This is the basic sttings and you can play around with the gain/treble and find the tone thats best for your ears. Play around with these settings til&#39; you find the nice appetite tone that you enjoy!!,"Slash, Appetite for Destruction",Hard Rock ,04/12/2011,,0,,4,614,20,0,48,53,82,60,43,1,17,73,0,1,1,1,0,20,189
always with joe,carlosmiguel,setup your own gain!,"Joe satriani, always with me always with you",solo tone ,03/12/2011,,0,,6,10,10,0,40,100,84,57,88,1,98,19,43,6,1,1,0,80,191
Bluesy Treble,mansonator,"Bluesey treble sound, hope you guys enjoy :)",-,Blues ,30/11/2011,,0,,1,7,50,0,55,59,56,54,59,1,49,14,100,6,2,1,0,40,192
Under the Bridge by klotad,klotad,Great amp setting for under the bridge. Enjoy.. :),"Red Hot Chili Peppers, Under the Bridge",Amazing ,30/11/2011,,0,,2,79,50,0,42,100,62,42,60,1,15,16,50,1,3,1,0,20,193
always with joe,carlosmiguel,setup your own gain!,"Joe satriani, always with me always with you",solo tone ,03/12/2011,,0,,6,11,10,42,40,100,84,56,87,10,97,18,43,6,1,31,0,80,194
Bluesy Treble,mansonator,"Bluesey treble sound, hope you guys enjoy :)",-,Blues ,30/11/2011,,0,,1,7,50,0,55,59,56,54,59,1,49,14,100,6,2,1,0,40,195
Under the Bridge by klotad,klotad,Great amp setting for under the bridge. Enjoy.. :),"Red Hot Chili Peppers, Under the Bridge",Amazing ,30/11/2011,,0,,2,79,50,0,42,100,62,42,60,1,15,16,50,1,3,1,0,20,196
Slash (Appetite for Destruction - clean),vegas,It's important to set your tone knob to 7 on a Les Paul guitar. I use a Cort KX5 with .010 Ernie Ball strings and the optimal tone value is about 4 for me. Just make sure to have a minimal distortion or less.,"Slash, Appetite for Destruction",Hard rock ,21/11/2011,,0,,8,10,12,0,55,30,72,44,71,1,100,14,0,1,1,1,0,20,197
Panama,pkouretsos,I also used a EVH Phase 90 which really helps get that EVH tone,"Van Halen, 1984 /Panama",8039s Metal ,21/11/2011,,0,,10,10,16,61,86,58,7,93,92,10,20,100,42,1,1,65,0,40,198
midnight stepps,viktull, tone+5 volume3,"Sunny Day, midnight steps",Blues ,19/11/2011,,0,,4,10,62,38,54,66,46,35,60,9,53,45,48,1,2,1,0,40,199
Killer Queen solo,kdm_onmars,"This is the tone I use for playing the solo to Queen&#39;s Killer Queen. The first part of the solo (below the 12th fret) is played on the bridge pickup. The second (above 12th fret - starts on 15th fret of G string) is played on the neck pickup. I used humbuckers, though I know Brian May has a single-coil in the neck position.","Queen, Killer Queen solo",Rock ,14/11/2011,,0,,6,10,0,0,27,43,54,71,52,1,35,54,42,6,1,1,0,40,201
Thrash Tone,thrashpunkcore,Works for me.......,"Metallica, Master Of Pupets",Scooped Thrash ,12/11/2011,,0,,6,162,17,0,13,100,67,17,66,1,100,67,35,7,1,1,0,80,203
Funy day,viktull,Les Paul Standard +,-,Rock - Blues ,04/11/2011,,0,,2,13,26,18,51,65,10,65,81,9,28,76,43,8,2,12,0,40,205
Ain't talkin' 'bout tone,scotthunter21,Setup with my Mexican Fender Telecaster,"Van Halen, Ain39t talkin39 39bout love",High end 8039s gai ,01/11/2011,,0,,8,3,17,40,44,34,61,62,72,11,26,35,45,10,2,16,0,40,207
Basic sound of Dire straits !!,thimpt,My favorite for playing Dire Straits,"Dire Straits, Dire Straits The first",Rock ,01/11/2011,,0,,6,3,24,41,92,68,60,8,42,9,9,33,46,1,2,1,0,80,208
AC30 starting point!,machineboy,"This is more or less my go-to AC30 sound. Slight breakup, but clean and crisp for precise picking and clarity!",-,Pop ,15/10/2011,,0,,6,5,36,10,40,48,44,43,51,9,54,40,0,1,2,12,0,20,209
EVH sound,vlcmstyle,classic VH1 tone with phase,"Van Halen, Eruption/Atomic punk",Rock,03/10/2011,http://www.youtube.com/watch?v=kLJYCaRd-ns,0,,7,33,100,43,0,66,65,54,57,4,34,86,82,7,3,1,0,20,211
Edwyn Collins - A Girl Like You,seelwinterwolf,made with a cort g110,-,90s rock ,19/09/2011,,0,,8,10,31,80,30,32,67,67,27,9,0,30,100,5,1,1,0,20,213
Pink Floyd - breath,teachergala,"From the making of Dark Side of The Moon, David Gilmour demonstrating the guitar part for Breath",-,Clasic Rock ,13/09/2011,http://www.youtube.com/watch?v=T3CHT7rQQVc,0,,5,6,100,60,87,63,91,20,30,11,18,35,35,1,2,47,0,40,216
slash - godfather theme,teachergala,Guitar solo played by Slash in tokio 1992,-,Metal ,13/09/2011,,0,,8,4,100,50,94,93,73,15,25,11,14,30,62,10,1,50,0,40,217
Ramones – BarreChords,glitterstomp,Simple but effective Barre Chord only tone....,"Ramones, Ramones",BarreChordPunk ,02/09/2011,,0,,2,3,6,34,61,64,84,60,55,5,91,31,64,6,1,1,0,40,219
Twangy Surf Tone,cortez,use middle position on telecaster pickup selector,"Duane Eddy, Rebel Rouser",Surf ,01/09/2011,,0,,,,,,,,,,,,,,,,,,,20,220
