Name,Author,Description,Inspired by,Music style,Created on,Demo,# votes,Rating,Amp style,Tap,PowerLevel,Edit2,Edit3,Volume,Treble,Middle,Bass,Effect2,Master,Gain,Edit1,Effect1,Red-Green,Edit2Hold,TapOnOff,AmpPower,Original order
What's that?,vox_tom_usa,Get the vibe speed really slow and the tremolo speed really fast.,-,Any ,11/01/2011,,0,,4,1,42,100,0,88,64,72,82,5,40,40,3,4,3,1,0,40,299
Shredda,vox_tom_usa,Shred your face off!,-,Shred ,11/01/2011,,0,,9,10,39,90,0,99,70,16,38,11,39,54,34,10,1,33,0,40,301
B. May,vox_tom_usa,Great Brian May rhythm tone.,"Queen, 7 Seas of Rhye",Rock ,11/01/2011,,0,,6,10,45,0,43,65,57,60,44,1,45,62,0,1,1,1,0,40,303
Led Boots,vox_tom_usa,Get the delay going with a moderate speed.,"Jeff Beck, Led Boots / Wired",Rock/Fusion ,11/01/2011,,0,,7,5,45,41,0,72,93,90,42,9,39,90,38,11,2,13,0,40,304
Peace Frog,vox_tom_usa,The Lizard King strikes again!,"The Doors, Peace Frog",Rock ,11/01/2011,,0,,3,10,40,0,44,61,86,76,39,1,44,38,0,1,3,1,0,40,305
Moonage Daydream,vox_tom_usa,Get the delay extremely fast (ADT style) and hold down the TAP button to adjust the feedback to one repeat.,"David Bowie/Mick Ronson, Moonage Daydream",Glam Rock ,11/01/2011,,0,,7,1,39,64,0,65,32,100,0,9,36,63,6,11,2,1,0,40,306
Rocks Off,vox_tom_usa,Add just a touch of room reverb.,"The Rolling Stones, Rocks Off / Exile on Main Street",Classic Rock ,11/01/2011,,0,,3,10,40,0,3,86,90,60,65,1,41,35,0,1,3,1,0,40,308
Bridge of Sighs,vox_tom_usa,Try to get the vibe pedal going as slow as possible.,"Robin Trower, Bridge of Sighs",Classic Rock ,11/01/2011,,0,,7,10,42,0,0,100,100,100,89,1,40,100,8,4,2,1,0,40,309
Whipping post,vox_tom_usa,Turn down to clean it up and turn up for soloing.,"The Allman Brothers, Whipping Post/The Allman Brothers Band",Blues/Rock ,11/01/2011,,0,,2,10,43,0,0,100,100,100,58,1,42,40,0,1,3,1,0,40,311
Walshy,vox_tom_usa,Hold the TAP button and bring up the number of repeats until you get about 4 or 5 clear ones. Sh,"Joe Walsh/James Gang, Asshtonpark",Classic Rock ,11/01/2011,,0,,4,10,45,100,0,66,80,95,54,9,36,100,0,1,3,39,0,40,312
Headbanger's Delight,vox_tom_usa,rawk!,-,Metal ,11/01/2011,,0,,11,10,46,0,0,71,94,0,92,1,39,80,66,7,3,1,0,40,316
60's USA,vox_tom_usa,Get a fast tremolo going and you're set. Nice big open chords sound great with this one.,-,Surf ,11/01/2011,,0,,2,2,38,60,50,67,68,61,50,5,90,16,0,1,1,1,0,40,318
Face Melter,vox_tom_usa,"Works great with a slow, sweeping Flanger. Try some lead lines above the 12th fret.",-,Rock ,11/01/2011,,0,,7,112,45,21,67,100,100,100,100,3,36,100,100,7,2,1,0,40,320
Funktopus,vox_tom_usa,Get down with the funky sounds of the Funktopus!,-,Funk ,11/01/2011,,0,,1,0,42,51,37,78,82,96,87,8,35,71,52,5,2,36,0,40,321
